EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	02:47:52	0	0.1000	0.37676013152121984	0.15897013247013092	0.7946	0.6818	0.7339	0.6104
2	02:54:44	0	0.1000	0.2090602807111196	0.12643837928771973	0.8063	0.7354	0.7692	0.6597
3	03:01:31	0	0.1000	0.18226532617529093	0.11431200802326202	0.8128	0.7529	0.7817	0.6768
4	03:08:38	0	0.1000	0.16922455665135683	0.11162347346544266	0.8105	0.7647	0.7869	0.6849
5	03:15:46	0	0.1000	0.16125892178609255	0.10486947745084763	0.8257	0.7631	0.7932	0.6924
6	03:22:57	0	0.1000	0.1556348386674203	0.09958449751138687	0.8192	0.7801	0.7991	0.7016
7	03:29:45	0	0.1000	0.1519299486330517	0.10022348165512085	0.8264	0.7761	0.8005	0.7041
8	03:36:32	0	0.1000	0.14819817961627724	0.09738139063119888	0.8228	0.7818	0.8018	0.7049
9	03:43:44	0	0.1000	0.14570371871690171	0.09410747140645981	0.8213	0.7916	0.8062	0.7122
10	03:50:48	0	0.1000	0.1440368273926305	0.09262164682149887	0.8215	0.7925	0.8067	0.7118
11	03:57:21	0	0.1000	0.1416848527323329	0.09000915288925171	0.824	0.7937	0.8085	0.7152
12	04:03:57	1	0.1000	0.1406021012361337	0.09058879315853119	0.8191	0.7956	0.8072	0.7137
13	04:10:32	2	0.1000	0.13903238204349525	0.09005721658468246	0.8151	0.7976	0.8063	0.7124
14	04:17:07	0	0.1000	0.13720025056784607	0.08885487169027328	0.8262	0.7928	0.8092	0.7164
15	04:23:48	0	0.1000	0.1374126326323768	0.08778213709592819	0.8239	0.7999	0.8118	0.7184
16	04:30:30	0	0.1000	0.13499732293363156	0.08680459856987	0.8265	0.8005	0.8133	0.722
17	04:37:22	1	0.1000	0.13496944511532502	0.08726047724485397	0.8268	0.7984	0.8124	0.7204
18	04:44:10	0	0.1000	0.13390549465434662	0.08656586706638336	0.8294	0.7995	0.8142	0.7229
19	04:50:54	1	0.1000	0.1338206494491759	0.08464303612709045	0.8275	0.7988	0.8129	0.7218
20	04:57:37	0	0.1000	0.1325117253212582	0.08483118563890457	0.8296	0.8052	0.8172	0.7275
21	05:04:26	1	0.1000	0.13283634117164678	0.0853564664721489	0.8307	0.8039	0.8171	0.7273
22	05:11:11	2	0.1000	0.1321734079088611	0.08613189309835434	0.8298	0.8016	0.8155	0.7259
23	05:17:50	3	0.1000	0.13194301073065987	0.08582718670368195	0.8223	0.8121	0.8172	0.7283
24	05:24:20	4	0.1000	0.13082052743878195	0.0866675153374672	0.8188	0.8075	0.8131	0.7223
25	05:30:55	0	0.0500	0.12593239557042096	0.08312270045280457	0.8264	0.8131	0.8197	0.7319
26	05:37:29	0	0.0500	0.123944472453993	0.08219078183174133	0.8273	0.8125	0.8198	0.7318
27	05:43:45	0	0.0500	0.12228103138931812	0.08259526640176773	0.8284	0.8121	0.8201	0.7315
28	05:49:48	0	0.0500	0.12219728275122535	0.08097265660762787	0.8313	0.813	0.8221	0.7351
29	05:55:51	1	0.0500	0.12170044304241882	0.08189766108989716	0.8286	0.8088	0.8186	0.7306
30	06:02:00	2	0.0500	0.12137202614731563	0.08139151334762573	0.8255	0.8102	0.8178	0.7287
31	06:08:03	3	0.0500	0.12054648100373977	0.0814567431807518	0.8275	0.8111	0.8192	0.731
32	06:14:07	4	0.0500	0.1213686776910289	0.08060891926288605	0.827	0.8103	0.8186	0.7297
33	06:20:12	1	0.0250	0.11796441399343663	0.08053375780582428	0.8263	0.8123	0.8192	0.7312
34	06:26:12	2	0.0250	0.11731654122140962	0.080022893846035	0.83	0.8121	0.821	0.7341
35	06:32:21	0	0.0250	0.11710961581427458	0.0790078267455101	0.8303	0.8175	0.8239	0.7379
36	06:38:32	1	0.0250	0.11688901502312488	0.07935180515050888	0.8281	0.812	0.8199	0.7323
37	06:44:41	2	0.0250	0.11698317668545885	0.07978545129299164	0.8281	0.8144	0.8212	0.7338
38	06:50:51	3	0.0250	0.11570353642498683	0.07946295291185379	0.8287	0.8123	0.8204	0.7331
